Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
TheTechLearner,https://www.crunchbase.com/organization/thetechlearner,Private,For Profit,Blogging Platforms,1-10,"Loria, Veneto, Italy","3,742,426",,"3,643,742",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rajdeep Das,1.0,"Content and Publishing, Media and Entertainment",,,,,,"TheTechLearner is an educational blog on technical facts/updates, case studies on tech stacks & digital marketing, especially earned a remarkable idenitity after publishing its series of 'How to Start your blog', made for newbie bloggers. TheTechLearner was initially hosted on 16th January 2018 on 'WordPress.com' platform with its free blogging services, founded & started a new journey by Rajdeep Das and after a month of recreating the whole site, it was officially published on 2nd February, 2018. It's still not a money-earning professional blog i.e. a  non-profitable free learning blog with limited services but reached a huge reader base by 2019. From 2020 to till now it's not a regular publishing blog but frequently promoting latest tech news & most trending discussed topics on its social media handles.",,thetechlearner.blog@gmail.com,https://www.linkedin.com/company/thetechlearner-blog/,https://thetechlearner.wordpress.com,,,,,2018-02-18,day,Active,An educational blog on technology & digital marketing. Let's Learn More & Grow More,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Thesis Technology,https://www.crunchbase.com/organization/thesis-technology,Private,For Profit,"Automotive, Mechanical Design",1-10,"Rimini, Emilia-Romagna, Italy","3,391,405",,"3,303,953",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Design, Hardware, Transportation",,,,,,"Thesis Technology is providing the development of a motorcycle. The company provides the design of motorbikes of various displacements and types. They also provide the engine project that includes definition and analysis of the competitor, layout, and 3d study of components, and development of 2d drawings for the realization of functional prototypes.",+39 3348197995,info@tesitechnology.cloud,https://www.linkedin.com/company/tesi-technology,http://www.tesitechnology.cloud,,,,,2018-01-01,year,Active,Thesis Technology is a motorbike design company.,,47924,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Thesis 4u,https://www.crunchbase.com/organization/thesis-4u,Private,For Profit,"Employment, Recruiting",1-10,"Milano, Lombardia, Italy","955,131",,"910,267",,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professional Services,,,,,,"Thesis 4u is a platform connecting companies and universities directly in the field of research and innovation. Through the thesis, the company will be able to test the student and evaluate afterwards whether to recruit him or not, all while maintaining the intellectual property of the paper.",,info@thesisforyou.com,https://www.linkedin.com/company/thesisforyou,https://thesisforyou.com,,,,,2020-01-01,year,Active,Thesis 4u promotes students ideas and their creativity by helping them find a thesis at a company.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
There is a Travel,https://www.crunchbase.com/organization/there-is-a-travel,Private,For Profit,"Training, Travel Agency",1-10,"Gravina In Puglia, Puglia, Italy","3,349,334",,"3,263,013",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Travel and Tourism",,,,,,"There is a Travel provides page promotion, coupons, mail, storytelling, chatbots, or tools to create emotional content and spread it in real time to increase your conversions. For inquiries, telephone and contact numbers are used.",+39 340 271 6378,contact@adatravel.it,https://www.linkedin.com/company/ada-travel-software/,https://www.adatravel.it,,,,,2018-01-01,year,Active,There is a Travel provides integrated technological products and services to the tourism sector.,$1M to $10M,70024,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
THEMOIRè,https://www.crunchbase.com/organization/themoirè,Private,For Profit,"Fashion, Lifestyle, Manufacturing, Retail",11-50,"Milano, Lombardia, Italy","1,946,742",,"1,883,773",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Manufacturing",,,,,,,,info@the-moire.com,https://www.linkedin.com/company/themoir%C3%A8,https://the-moire.com,,,,,2019-01-01,year,Active,"THEMOIRè is a fashion industry that manufactures bags, shoes, and small accessories.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TheLab,https://www.crunchbase.com/organization/thelab-srl,Private,For Profit,"Angel Investment, Incubators, Internet, Mobile Apps, Software",11-50,"Torino, Piemonte, Italy","1,480,582",,"1,424,871",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Francesco Scrufari, Simone Offredo",2.0,"Apps, Financial Services, Internet Services, Lending and Investments, Mobile, Software",,,,,,"Coming from an experience in Ulixe Group, it brings together some of the best talents in the field – from developers to graphic designers - to create Apps that people use and have fun with in their daily lives.",,info@thelab.site,https://www.linkedin.com/company/thelab-srl/,http://www.thelab.site,,,,,2018-06-01,month,Active,"TheLab, strives to design, develop and market Apps that can reach a global audience.",,10153,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TheFirm Tax & Legal,https://www.crunchbase.com/organization/thefirm-tax-legal,Private,For Profit,"Accounting, Advice, Law Enforcement, Legal",11-50,"Milano, Lombardia, Italy","3,670,004",,"3,573,773",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Government and Military, Media and Entertainment, Privacy and Security, Professional Services",,,,,,,+39 2 5006011,info@the-firm.it,https://www.linkedin.com/company/thefirm-tax-legal,https://www.the-firm.it,,,,,2021-01-01,year,Active,"TheFirm Tax & Legal is a legal advisory firm that offers tax assistance, welfare plans, litigation, legal services, and corporate liability.",$1M to $10M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Zest,https://www.crunchbase.com/organization/the-zest,Private,,Publishing,1-10,"Roma, Lazio, Italy","3,409,719",,"3,321,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment",,,,,,"The Zest brings out the essence of things, telling authentic and memorable stories. It is a hub of editorial and journalistic products capable of generating targeted solutions for all those who intend to enhance themselves, organizations and brands, using the chameleon-like ability to express words and adapting it to different formats, from print to digital.",+39 0685225042,info@the-zest.com,https://www.linkedin.com/company/thezest,https://the-zest.com,,,,,2020-01-01,year,Active,"The Zest creates editorial projects and brand journalism content that tell stories, going beyond the wall of objective information.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The X Company,https://www.crunchbase.com/organization/the-x-company-66d6,Private,For Profit,"Brand Marketing, Digital Marketing, Email Marketing, Graphic Design, Social Media Marketing, Video Advertising, Web Design, Web Development, Web Hosting",1-10,"Napoli, Campania, Italy","3,228,703",,"3,145,335",,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristiano Casazza,1.0,"Advertising, Design, Internet Services, Sales and Marketing, Software",,,,,,"Since 2021, The X Company has been supporting freelancers, entrepreneurs, and SMEs, helping them focus on growing their businesses. Through our scalable technology and dedicated services, we provide high-quality solutions along with 24/7/365 customer support.",+1 313 631 0010,info@thexcompany.net,https://www.linkedin.com/company/thexcompany,https://www.thexcompany.net,,,,,2021-02-01,day,Active,"The X Company offers domain names, business email, hosting and managed cloud, digital services, and much more.",,80136,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Unchained Block,https://www.crunchbase.com/organization/the-unchained-block,Private,For Profit,Information Technology,1-10,"Terni, Umbria, Italy","3,614,723",,"3,520,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edoardo Mancini,1.0,Information Technology,,,,,,"The Unchained Block is a young and fast-moving team of professionals with a broad experience in IT, Tangle and Blockchain technologies. Our aim is to leverage the blockchain for exciting new projects that enable users around the world to live a better life, have more fun and get paid for the things you love to do. Sounds interesting? Then stay tuned! The Unchained Block wants to maximize the potential of blockchain technologies through integration into the real life. We are working on several applications within one ecosystem, where the user can move freely and experience new innovative concepts in the world of Gaming or Multimedia. Our goal is enabling you to make money while you are gaming, all you need to do is win.   Beat your opponent and get paid and this is just the start.",393459322300,info@theunchainedblock.com,https://www.linkedin.com/company/18509873/admin/updates/,https://theunchainedblock.com,,none,,,2018-03-06,day,Closed,We study new interactions with the reality of this reliable and scalable technology that opens up a world of unexplored opportunities.,,5100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Thinking Clouds,https://www.crunchbase.com/organization/the-thinking-clouds,Private,For Profit,"Apps, Artificial Intelligence (AI), Gamification, Machine Learning",1-10,"Benevento, Campania, Italy","3,113,112",,"3,032,136",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Gaming, Science and Engineering, Software",,,,,,"The Thinking Clouds makes technologies of artificial intelligence and machine learning. They develop courses and animated web series available anywhere on computers and smartphones. They develop apps through digital storytelling, and emotional interfaces and integrate conversation design.",+39 0824 174 8461,info@thethinkingclouds.com,https://www.linkedin.com/company/thethinkingclouds,https://www.thethinkingclouds.com,,,,,2018-01-01,year,Active,The Thinking Clouds creates multimedia content and delivers it through artificial intelligence platforms.,,82100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The sixth flavor,https://www.crunchbase.com/organization/il-sesto-sapore,Private,For Profit,"Hotel, Organic Food, Restaurants",,"Santa Maria Di Sala, Veneto, Italy","3,544,394",,"3,452,251",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Food and Beverage, Travel and Tourism",,,,,,"The sixth flavor is a restaurant, bistro, shop, gastronomy, research center, meeting and sharing space, and a meeting and sharing space. They provide a variety of services ranging from the restaurant to the bistro, gastronomy and the shop to delivery and the creation of personalized diets, foods, and treatments for people with special needs or intolerances.",+39 388 7769244,info@ilsestosapore.com,,https://www.ilsestosapore.it,,,,,2019-01-01,year,Active,"The sixth flavor is a restaurant that delivers food, pastries, and ice creams.",,30036,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Secret Pot,https://www.crunchbase.com/organization/the-secret-pot,Private,For Profit,"Cosmetics, E-Commerce, Health Care, Wellness",1-10,"Milano, Lombardia, Italy","3,292,799",,"3,207,930",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Health Care",,,,,,,+393278621713,marketing@thesecretpot.com,https://www.linkedin.com/company/the-secret-pot/,https://www.thesecretpot.com/,,,,,2018-01-01,year,Active,"The Secret Pot is a webshop that offers a wide range of vaporizers, wellness, and cosmetics products.",Less than $1M,20136,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Screen Cinemas,https://www.crunchbase.com/organization/the-screen-cinemas,Private,For Profit,"Events, Media and Entertainment, Theatre",11-50,"San Gregorio Di Catania, Sicilia, Italy","3,067,619",,"2,987,525",,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Events, Media and Entertainment",,,,,,,+39 095 874 1245,info@thescreen.it,https://www.linkedin.com/company/thescreencinemas/,https://www.thescreen.it,,,,,2019-01-01,year,Active,"The Screen Cinemas is a movie theater specializing in cinemas, ticketing, and hosting events.",,95027,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Pill Outdoor Journal,https://www.crunchbase.com/organization/the-pill-outdoor-journal,Private,For Profit,"News, Outdoors, Publishing",11-50,"Torino, Piemonte, Italy","2,899,771",,"2,822,679",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Sports",,,,,,,+39 333 7741506,hello@thepillagency.com,https://www.linkedin.com/company/the-pill-outdoor-journal/,https://thepilloutdoor.com,,,,,2018-01-01,year,Active,"The Pill Outdoor Journal is an outdoor magazine publishing company that publishes climbing, skiing, flying, and hiking news.",,10138,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Nomad Mood,https://www.crunchbase.com/organization/the-nomad-mood,Private,For Profit,"Mobile Apps, Reservations, Tourism, Travel, Travel Accommodations",11-50,"Novara, Piemonte, Italy","2,673,501",,"2,600,067",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Events, Media and Entertainment, Mobile, Software, Travel and Tourism",,,,,,,+39 351-750-5985,info@thenomadmood.it,https://www.linkedin.com/company/thenomadmood/,https://thenomadmood.it/,,,,,2019-01-01,year,Active,"The Nomad Mood is a mobile app that provides interactive trip diaries, virtual travel guidance, booking, and navigation services.",,28100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The Meraviglia,https://www.crunchbase.com/organization/the-meraviglia,Private,For Profit,"Brand Marketing, Content Marketing, Digital Marketing, Social Media Marketing",11-50,"Milano, Lombardia, Italy","3,231,181",,"3,147,756",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales and Marketing,,,,,,,,info@themeraviglia.com,https://www.linkedin.com/company/the-meraviglia/,https://themeraviglia.com/,,,,,2019-01-01,year,Active,"The Meraviglia is a digital boutique agency that provides services in digital marketing, social media marketing, and branding.",,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
The King MTB,https://www.crunchbase.com/organization/the-king-mtb,Private,For Profit,"Sports, Training",1-10,"San Bonifacio, Veneto, Italy","2,391,019",,"2,321,573",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Sports",,,,,,The King Mtb is a community of riders that also offer sports and personal training courses. They will do an assessment of their riding level and their static-dynamic riding position. They will allow them to create a training course tailored to them.,+39 388 777 8865,hello@thekingmtb.com,https://www.linkedin.com/company/tkmtbsrl/,https://www.thekingmtb.com,,,,,2021-01-01,year,Active,The King MTB is a platform for riders community.,,37047,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
