,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
3308.,DISTILLERIA NARDINI S.P.A.,IT04285140242,04285140242,VI0393218,04285140242,"VIA MADONNA DI MONTE BERICO, 7",Vicenza,36061,Veneto,VIA MADONNA DI MONTE BERICO 7,Vicenza,36061,VENETO,110100,25/06/2020,,Attiva,S.P.A.
3309.,FASHION BLOGGER SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT04811240235,04811240235,VR0448161,04811240235,"VIA LUIGI GALVANI, 21",Verona,37138,Veneto,VIA LUIGI GALVANI 21,Verona,37138,VENETO,464210,01/04/2021,,Attiva,S.R.L. semplificata
3310.,SENSIA S.R.L.,IT10825060964,10825060964,MI2559930,10825060964,"VIA LIGURIA, 2/30",Milano,20068,Lombardia,VIA LIGURIA 2/30,Milano,20068,LOMBARDIA,332009,16/05/2019,,Attiva,S.R.L.
3311.,CARZOOON S.P.A.,IT12574810011,12574810011,TO1300601,12574810011,"CSO CARLO E NELLO ROSSELLI, 175",Torino,10141,Piemonte,CORSO CARLO E NELLO ROSSELLI 175,Torino,10141,PIEMONTE,451101,19/10/2021,,Attiva,S.P.A.
3312.,BALT ITALY S.R.L.,IT11570870961,11570870961,MI2611737,11570870961,"VIA QUINTINO SELLA, 4",Milano,20121,Lombardia,VIA QUINTINO SELLA 4,Milano,20121,LOMBARDIA,464630,22/01/2021,,Attiva,S.R.L.
3313.,DI.FA. PLAST SRL,IT15004261002,15004261002,RM1562490,15004261002,"PZA DEL POPOLO, 18",Roma,00187,Lazio,PIAZZA DEL POPOLO 18,Roma,00187,LAZIO,467620,22/11/2018,,Attiva,S.R.L.
3314.,GFC INFORMATICA SRL,IT04299460719,04299460719,FG0316683,04299460719,"CSO ITALIA, 17",Foggia,71045,Puglia,,,,,479110,27/03/2020,,Attiva,S.R.L.
3315.,ALPI COSTRUZIONI S.R.L.,IT04323570988,04323570988,BS0605891,04323570988,"VIA REDIPUGLIA, 15",Brescia,25024,Lombardia,,,,,412000,29/10/2021,,Attiva,S.R.L.
3316.,ALUMINUM PROFILE ITALY S.R.L.,IT02257920682,02257920682,PE0407555,02257920682,"PZA PAPA GIOVANNI XXIII, 2",Pescara,65029,Abruzzo,PIAZZA PAPA GIOVANNI XXIII 2,Pescara,65029,ABRUZZO,245300,23/04/2019,,Attiva,S.R.L.
3317.,C AVIATION S.R.L.,IT03691071207,03691071207,BO0539142,03691071207,"VIA MARIO LONGHENA, 6",Bologna,40139,Emilia-Romagna,VIA MARIO LONGHENA 6,Bologna,40139,EMILIA-ROMAGNA,773500,09/03/2018,,Attiva,S.R.L.
3318.,OKZ TRAILER SRL,IT11630350962,11630350962,MI2616530,11630350962,"VIA ALFONSO LAMARMORA, 36",Milano,20122,Lombardia,VIA LUIGI SETTEMBRINI 26/A,Milano,20124,LOMBARDIA,451901,23/02/2021,,Attiva,S.R.L.
3319.,MAFIN GROUP CONSORZIO STABILE SRL,IT03963690361,03963690361,MO0431891,03963690361,"GAL SAN GIACOMO, 18",Modena,41013,Emilia-Romagna,,,,,412000,17/03/2021,,Attiva,Società consortile a responsabilita' limitata
3320.,EXACER S.R.L.,IT03876310362,03876310362,MO0425067,03876310362,"VIA PUGLIA, 2-4",Modena,41049,Emilia-Romagna,,,,,234400,22/07/2019,,Attiva,S.R.L.
3321.,INTERMOMA FOOD S.R.L.,IT02721780993,02721780993,GE0506639,02721780993,"PZA DELLA VITTORIA, 14/19",Genova,16121,Liguria,PIAZZA DELLA VITTORIA 14/19,Genova,16121,LIGURIA,463920,26/01/2021,,Attiva,S.R.L.
3322.,D.C. BUSINESS S.R.L.,IT10126771210,10126771210,NA1082589,10126771210,"VIA MARICONDA, 10",Napoli,80045,Campania,,,,,463810,27/09/2022,,Attiva,S.R.L.
3323.,PRO20 S.R.L.,IT03894390040,03894390040,CN0322490,03894390040,"VIA DELL'ACQUEDOTTO, 4",Cuneo,12051,Piemonte,,,,,461901,19/06/2020,,Attiva,S.R.L.
3324.,MOCCIARO & SCAVUZZO S.R.L.,IT06999980821,06999980821,PA0430577,06999980821,"VIA ALCIDE DE GASPERI, 4",Palermo,90024,Sicilia,VIA ALCIDE DE GASPERI 4,Palermo,90024,SICILIA,475240,10/11/2021,,Attiva,S.R.L.
3325.,IDORSIA PHARMACEUTICALS ITALY S.R.L.,IT16286891003,16286891003,MI2640560,16286891003,"VIA FABIO FILZI, 25",Milano,20124,Lombardia,,,,,464610,27/07/2021,,Attiva,S.R.L.
3326.,EMMEA - SOCIETA' A RESPONSABILITA' LIMITATA ANCHE PER BREVITA' EMMEA S.R.L.,IT14926931008,14926931008,RM1556191,14926931008,"VIA FRANCESCO ANTOLISEI, 6",Roma,00173,Lazio,,,,,412000,12/09/2018,,Attiva,S.R.L.
3327.,AGC SCARL,IT12544150969,12544150969,MI2668590,12544150969,"VIA GIOVANNI CADOLINI, 32",Milano,20137,Lombardia,,,,,412000,05/09/2022,,Attiva,Società consortile a responsabilita' limitata
3328.,SERVICE DELIVERY EUROPE NETWORK - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT16122401009,16122401009,RM1636757,16122401009,"VIA CORNELIA, 498",Roma,00166,Lazio,VIA CORNELIA 498,Roma,00166,LAZIO,432102,01/04/2021,,Attiva,Società consortile a responsabilita' limitata
3329.,I.T.I. PRO SRL,IT08508360727,08508360727,BA0631326,08508360727,"VIA LAZIO, SNC",Bari,70021,Puglia,VIA LAZIO SNC,Bari,70021,PUGLIA,222909,15/12/2020,,Attiva,S.R.L.
3330.,IN BIO SOCIETA' COOPERATIVA AGRICOLA,IT04339690713,04339690713,FG0319738,04339690713,"VIA TRINITAPOLI KM.8,300, SN",Foggia,71121,Puglia,VIA TRINITAPOLI 0 SNC,Foggia,71121,PUGLIA,016300,27/01/2021,,Attiva,S.C.A.R.L.P.A.
3331.,CO. RICO. CONSORZIO STABILE S.C. A R.L.,IT11086520969,11086520969,MI2578708,11086520969,"VLE BIANCA MARIA, 22",Milano,20129,Lombardia,,,,,412000,18/12/2019,,Attiva,Società consortile a responsabilita' limitata
3332.,CONSORZIO RI ABITA,IT02662500699,02662500699,CH0407862,02662500699,"VIA ATERNO, 108",Chieti,66020,Abruzzo,,,,,412000,21/05/2019,,Attiva,Consorzio
3333.,GARBO FROZEN FOOD S.R.L.,IT17243491002,17243491002,RM1705557,17243491002,"VIA SANTA LUCIA, 16",Roma,00062,Lazio,,,,,108909,06/07/2023,,Attiva,S.R.L.
3334.,INVEXTRA SERVICE S.R.L.,IT10809100968,10809100968,MI2558926,10809100968,"VIA GIOSUE' CARDUCCI, 41/C",Milano,20098,Lombardia,VIA GIOSUE' CARDUCCI 41/C,Milano,20098,LOMBARDIA,494100,07/05/2019,,Attiva,S.R.L.
3335.,KRUSO KAPITAL S.P.A.,IT10753220960,10753220960,MI2563910,10753220960,"LGO AUGUSTO, 1",Milano,20122,Lombardia,LARGO AUGUSTO 1/A,Milano,20122,LOMBARDIA,649209,12/10/2018,,Attiva,S.P.A.
3336.,AGENZIA ITALIANA PER L'INTERNAZIONALIZZAZIONE - PROMOS ITALIA S.C.R.L.,IT10322390963,10322390963,MI2522412,10322390963,"VIA MERAVIGLI, 9/B",Milano,20123,Lombardia,VIA MERAVIGLI 9/B,Milano,20123,LOMBARDIA,702209,18/04/2018,,Attiva,Società consortile a responsabilita' limitata
3337.,MIZAR SRL,IT12066600961,12066600961,MI2638492,12066600961,"VIA BEATRICE DI TENDA, 5",Milano,20082,Lombardia,,,,,466920,22/10/2021,,Attiva,S.R.L.
3338.,PNEUS PREMIUM SRLS,IT04303060240,04303060240,PD0460050,04303060240,"VIA EL ALAMEIN, 13",Padova,35035,Veneto,,,,,453101,03/11/2020,,Attiva,S.R.L. semplificata
3339.,RCT S.R.L.,IT12106720969,12106720969,MI2641416,12106720969,"VIA PRINCIPE EUGENIO, 30",Milano,20155,Lombardia,VIA PRINCIPE EUGENIO 30,Milano,20155,LOMBARDIA,430000,24/11/2021,,Attiva,S.R.L.
3340.,TWO LEADERS S.R.L.,IT10193250965,10193250965,MI2514174,10193250965,"VIA CERVA, 18",Milano,20122,Lombardia,VIA CERVA 18,Milano,20122,LOMBARDIA,749099,22/01/2018,,Attiva,S.R.L.
3341.,DRINDRO & C. GRANDE DISTRIBUZIONE S.R.L.,IT02972850305,02972850305,UD0353521,02972850305,"STR PROV. 58 DI MONTEGNACCO, 44",Udine,33010,Friuli-Venezia Giulia,VIA GIAMBATTISTA TIEPOLO 2/A,Udine,33010,FRIULI-VENEZIA,823000,18/07/2019,,Attiva,S.R.L.
3342.,RINASCITA S.R.L.,IT04588260614,04588260614,CE0338968,04588260614,"VIA GIOVANNI GENTILE, 8",Caserta,81031,Campania,,,,,412000,17/06/2021,,Attiva,S.R.L.
3343.,PASETTI FRANCO S.R.L.,IT02568740209,02568740209,MN0263313,02568740209,"VIA PREMANA, 19",Mantova,46040,Lombardia,VIA PREMANA 19,Mantova,46040,LOMBARDIA,432201,18/10/2018,,Attiva,S.R.L.
3344.,ARGENTORO 1965 S.R.L.,IT02561300068,02561300068,AL0266118,02561300068,"VIA MARIO BAIARDI, 27",Alessandria,15048,Piemonte,VIA MARIO BAIARDI 27,Alessandria,15048,PIEMONTE,321210,25/01/2018,,Attiva,S.R.L.
3345.,HOWDEN RE S.P.A.,IT11668410969,11668410969,MI2617893,11668410969,"VIA COSTANZA ARCONATI, 1",Milano,20135,Lombardia,VIA COSTANZA ARCONATI 1,Milano,20135,LOMBARDIA,662201,12/03/2021,,Attiva,S.P.A.
3346.,SCALVENZI S.R.L.,IT04330480981,04330480981,BS0606339,04330480981,"STR FRANCESCA II TRONCO, 95",Brescia,25026,Lombardia,,,,,282999,22/11/2021,,Attiva,S.R.L.
3347.,NUOVA ILTA S.R.L.,IT12111650961,12111650961,VE0442391,12111650961,"VIA DELL'ELETTRICIT+, 19",Venezia,30175,Veneto,,,,,462110,22/11/2021,,Attiva,S.R.L.
3348.,FLEXI S.R.L.,IT11499190962,11499190962,MI2607678,11499190962,"VIA PER INVERUNO, 95",Milano,20038,Lombardia,VIA DON LORENZO MILANI 23/25,Bergamo,24050,LOMBARDIA,329990,10/12/2020,,Attiva,S.R.L.
3349.,SIDERCOM TECHNOLOGY S.R.L.,IT04063070983,04063070983,RM1625858,04063070983,"VIA EDOARDO AMALDI, 280",Roma,00134,Lazio,VIA PER OSPITALETTO 205/207,Brescia,25046,LOMBARDIA,256200,21/01/2019,,Attiva,S.R.L.
3350.,FANTER S.R.L.,IT03747771206,03747771206,BO0543581,03747771206,"VIA DE ANGELI GUIDO, 14",Bologna,40062,Emilia-Romagna,VIA DE ANGELI 14,Bologna,40062,EMILIA-ROMAGNA,101100,21/12/2018,,Attiva,S.R.L.
3351.,ASTRA 2020 S.R.L.,IT15625151004,15625151004,RM1603088,15625151004,"VIA LORENZO MAGALOTTI, 15",Roma,00197,Lazio,VIA LORENZO MAGALOTTI 15,Roma,00197,LAZIO,471120,06/02/2020,,Attiva,S.R.L.
3352.,HYDRO S.P.A.,IT02331490504,02331490504,PI0199116,02331490504,"VIA DEL BOSCO, 275",Pisa,56029,Toscana,VIA DEL BOSCO 275,Pisa,56029,TOSCANA,201409,29/03/2019,,Attiva,S.P.A.
3353.,NETGROUP EMEA S.R.L.,IT09701251218,09701251218,NA1051010,09701251218,"VIA 11 SETTEMBRE 2001, 28/B",Napoli,80030,Campania,,,,,782000,11/02/2021,,Attiva,S.R.L.
3354.,SACCHI TARTUFI INTERNATIONAL S.R.L.,IT02728960416,02728960416,PS0267091,02728960416,"VIA AMEDEO AVOGADRO, 19/B",Pesaro e Urbino,61032,Marche,,,,,463110,16/09/2020,,Attiva,S.R.L.
3355.,UCE LIFT S.R.L.,IT10283740966,10283740966,MI2519266,10283740966,"VIA MONTE ROSA, 14",Milano,20149,Lombardia,VIA CARLO GOLDONI 6,Milano,20090,LOMBARDIA,432901,16/03/2018,,Attiva,S.R.L.
3356.,ECP CREMONAPO S.R.L.,IT10811150969,10811150969,MI2558963,10811150969,"VIA DELLA MOSCOVA, 3",Milano,20121,Lombardia,VIA DELLA MOSCOVA 3,Milano,20121,LOMBARDIA,682001,06/05/2019,,Attiva,S.R.L.
3357.,CBM SRL,IT03054360593,03054360593,LT0220175,03054360593,"VIA SAN CARLO DA SEZZE, 40",Latina,04100,Lazio,VIA SAN CARLO DA SEZZE 40,Latina,04100,LAZIO,471120,26/07/2019,,Attiva,S.R.L.
3358.,FRANZESE PETROLI S.P.A.,IT15298511005,15298511005,RM1581385,15298511005,"VLE BRUNO BUOZZI, 47",Roma,00197,Lazio,VIALE PIER LUIGI NERVI SNC,Latina,04100,LAZIO,467100,28/05/2019,,Attiva,S.P.A.
3359.,M.M. SRL,IT02984500302,02984500302,UD0354896,02984500302,"VIA ANTONIO ZANUSSI, 300-302",Udine,33100,Friuli-Venezia Giulia,VIA ANTONIO ZANUSSI 300-302,Udine,33100,FRIULI-VENEZIA,222000,12/12/2019,,Attiva,S.R.L.
3360.,PLASTIC KHALID SRL,IT11922060964,11922060964,MI2631499,11922060964,"VLE ABRUZZI, 94",Milano,20131,Lombardia,,,,,467620,20/07/2021,,Attiva,S.R.L.
3361.,YANCAR SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT09277631215,09277631215,NA1020805,09277631215,"STS 145, 48",Napoli,80045,Campania,,,,,451101,25/06/2019,,Attiva,S.R.L. semplificata
3362.,I.MEC. SRL,IT03013750355,03013750355,RE0332657,03013750355,"VIA UMBERTO DEGOLA, 24",Reggio nell'Emilia,42124,Emilia-Romagna,,,,,252900,21/04/2023,,Attiva,S.R.L.
3363.,MINORCA S.R.L.,IT15396531004,15396531004,RM1587894,15396531004,"VIA TIBERINA KM.19,300, SNC",Roma,00065,Lazio,VIA TIBERINA 0SNC,Roma,00065,LAZIO,471120,27/08/2019,,Attiva,S.R.L.
3364.,MST GROUP SRL SOCIETA' BENEFIT,IT04210100246,04210100246,VI0387621,04210100246,"PZA ARACELI, 2",Vicenza,36100,Veneto,PIAZZA ARACELI 2,Vicenza,36100,VENETO,862209,19/03/2019,,Attiva,S.R.L.
3365.,LUCEN RETE S.R.L.,IT15478931007,15478931007,RM1593237,15478931007,"VIA DELLA CONCILIAZIONE, 44",Roma,00193,Lazio,,,,,749032,28/10/2019,,Attiva,S.R.L.
3366.,ECO ASFALTI S.R.L.,IT06052780654,06052780654,SA0493642,06052780654,"VIA ALVEO SANTA CROCE, 46",Salerno,84015,Campania,,,,,239900,16/11/2021,,Attiva,S.R.L.
3367.,ELI FACTORY S.R.L.,IT02497310447,02497310447,FM0285188,02497310447,"VIA ALPI, 320",Fermo,63812,Marche,,,,,152010,12/10/2022,,Attiva,S.R.L.
3368.,E. COSTRUZIONI SRL,IT16111791006,16111791006,RM1636824,16111791006,"VIA ALFREDO GARGIULO, 47",Roma,00124,Lazio,,,,,412000,12/03/2021,,Attiva,S.R.L.
3369.,RE.FIN ENERGIA S.R.L.,IT04412950612,04412950612,CE0324793,04412950612,"VLE EUROPA, 14",Caserta,81031,Campania,,,,,473000,08/05/2019,,Attiva,S.R.L.
3370.,ALMERIA S.R.L.,IT03791660792,03791660792,KR0185700,03791660792,"VLE DELLA LIBERTA', 7",Crotone,88811,Calabria,VIALE DELLA LIBERTA' 7,Crotone,88811,CALABRIA,475400,05/02/2021,,Attiva,S.R.L.
3371.,COOP. SORENGO SOCIETA' COOPERATIVA,IT12101890965,12101890965,MI2640260,12101890965,"VIA GROSIO, 10",Milano,20151,Lombardia,VIA GROSIO 10/10,Milano,20151,LOMBARDIA,522922,16/11/2021,,Attiva,S.C.A.R.L.P.A.
3372.,CANNATA NATALE DOC S.R.L.,IT02028880892,02028880892,SR0431556,02028880892,"CSO COSTA NUNZIO, 115",Siracusa,96018,Sicilia,,,,,463110,28/08/2020,,Attiva,S.R.L.
3373.,SALSOMAGGIORE S.R.L.,IT02924620343,02924620343,PR0277854,02924620343,"VIA PARMA, 23",Parma,43039,Emilia-Romagna,VIA PARMA 23,Parma,43039,EMILIA-ROMAGNA,471120,15/11/2019,,Attiva,S.R.L.
3374.,GD SERVICE S.R.L.,IT02820470421,02820470421,AN0255005,02820470421,"VIA MARTIRI DELLA RESISTENZA, 27",Ancona,60125,Marche,VIA MARTIRI DELLA RESISTENZA 22,Ancona,60125,MARCHE,301102,05/04/2019,,Attiva,S.R.L.
3375.,COLVA SRL,IT11498320966,11498320966,MI2607192,11498320966,"VIA MAURO MACCHI, 8",Milano,20124,Lombardia,,,,,731102,03/12/2020,,Attiva,S.R.L.
3376.,CARRINO COSTRUZIONI S.R.L.,IT09231941213,09231941213,NA1017771,09231941213,"VIA LOGGIA DEI PISANI, 25",Napoli,80133,Campania,,,,,412000,08/05/2019,,Attiva,S.R.L.
3377.,ELRING ITALIA S.R.L.,IT12718690014,12718690014,TO1311148,12718690014,"VIA ENRICO DE NICOLA, 7",Torino,10036,Piemonte,,,,,453101,22/06/2022,,Attiva,S.R.L.
3378.,GRIM S.R.L.,IT02936400429,02936400429,AN0285539,02936400429,"VIA CIRO AMEDEO MORICONI, 2",Ancona,60035,Marche,,,,,283090,31/10/2022,,Attiva,S.R.L.
3379.,CD OPERATIONS S.R.L.,IT11426220965,11426220965,MB2601731,11426220965,"VIA BICE CREMAGNANI, 15/7",Monza e della Brianza,20871,Lombardia,VIA BICE CREMAGNANI 15/7,Monza e della Brianza,20871,LOMBARDIA,829220,01/10/2020,,Attiva,S.R.L.
3380.,FIVE BROTHERS S.R.L.,IT08996341213,08996341213,NA1000857,08996341213,"VIA FERRANTE IMPARATO, 33",Napoli,80146,Campania,VIA FERRANTE IMPARATO 33,Napoli,80146,CAMPANIA,469000,12/07/2018,,Attiva,S.R.L.
3381.,SILVERSTONE 1967 S.R.L.,IT16442251001,16442251001,RM1656879,16442251001,"VIA MARCO BESSO, 40",Roma,00191,Lazio,,,,,451101,06/12/2021,,Attiva,S.R.L.
3382.,ELLEZETA BUILDING S.R.L.,IT03970190926,03970190926,CA0352989,03970190926,"VLE ELMAS, 41/43",Cagliari,09122,Sardegna,VIA GOFFREDO MAMELI 35,Cagliari,09124,SARDEGNA,412000,23/06/2021,,Attiva,S.R.L.
3383.,TOTALENERGIES SVILUPPO ITALIA S.R.L.,IT10788100963,10788100963,MI2557522,10788100963,"VIA ROMBON, 11",Milano,20134,Lombardia,,,,,702209,17/04/2019,,Attiva,S.R.L.
3384.,ANDALONI COSTRUZIONI S.R.L.,IT03970940981,03970940981,BS0578110,03970940981,"VIA TURCHE, 1/D",Brescia,25010,Lombardia,VIA TURCHE 1/D,Brescia,25010,LOMBARDIA,412000,25/01/2018,,Attiva,S.R.L.
3385.,ASSICAI S.R.L.,IT15930581002,15930581002,RM1623831,15930581002,"VIA XXIV MAGGIO, 43",Roma,00187,Lazio,VIA CENTESE 5,Bologna,40016,EMILIA-ROMAGNA,662202,23/11/2020,,Attiva,S.R.L.
3386.,RCM-VRM SRL,IT03816051209,03816051209,BO0548470,03816051209,"VIA DEI LOMBARDI, 8",Bologna,40069,Emilia-Romagna,VIA DEI LOMBARDI 8,Bologna,40069,EMILIA-ROMAGNA,256200,16/09/2019,,Attiva,S.R.L.
3387.,AUXOLOGICO ROMA SOCIETA' A RESPONSABILITA' LIMITATA SOCIETA' BENEFIT,IT15939381008,15939381008,RM1624500,15939381008,"VIA SARDEGNA, 50",Roma,00187,Lazio,VIA SARDEGNA 50,Roma,00187,LAZIO,861020,26/11/2020,,Attiva,S.R.L.
3388.,OSV SOCIETA' CONSORTILE AGRICOLA A R.L.,IT01772660880,01772660880,RG0442676,01772660880,"CNT RANDELLO, SN",Ragusa,97100,Sicilia,CONTRADA RANDELLO SNC,Ragusa,97100,SICILIA,016300,25/09/2021,,Attiva,Società consortile a responsabilita' limitata
3389.,SMART ENERGY SRLS UNIPERSONALE,IT02020700858,02020700858,CL0114754,02020700858,"VIA INFANTONE, 1",Caltanissetta,93016,Sicilia,VIA INFANTONE 1,Caltanissetta,93016,SICILIA,461901,27/04/2018,,Attiva,S.R.L. semplificata
3390.,OFFICINE DOLCE VITA S.R.L.,IT10650350969,10650350969,MI2547793,10650350969,"CSO BUENOS AIRES, 64",Milano,20124,Lombardia,CORSO BUENOS AIRES 64,Milano,20124,LOMBARDIA,463600,28/01/2019,,Attiva,S.R.L.
3391.,MED CARBURANTI S.R.L.,IT16441531007,16441531007,RM1656857,16441531007,"VIA FULVIO TOMASSUCCI, 20",Roma,00144,Lazio,,,,,473000,02/12/2021,,Attiva,S.R.L.
3392.,ALLI S.C.A.R.L.,IT05222690280,05222690280,PD0452458,05222690280,"VIA LUIGI PIEROBON, 46",Padova,35010,Veneto,VIA LUIGI PIEROBON 46,Padova,35010,VENETO,432909,17/05/2019,,Attiva,Società consortile a responsabilita' limitata
3393.,INDIANAPOLIS S.R.L.,IT16280461001,16280461001,RM1646426,16280461001,"VIA MARCO BESSO, 40",Roma,00191,Lazio,,,,,451101,21/07/2021,,Attiva,S.R.L.
3394.,CATEA - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA - SOCIETA' BENEFIT,IT01330400324,01330400324,TS0205109,01330400324,"PZA VENEZIA, 1",Trieste,34123,Friuli-Venezia Giulia,,,,,412000,26/06/2019,,Attiva,Società consortile a responsabilita' limitata
3395.,GRUPPO COSTRUZIONI S.R.L.S. SOCIETA' MULTISERVICE,IT03757531201,03757531201,BO0544481,03757531201,"VIA DI MONTRONE, 1/G",Bologna,40026,Emilia-Romagna,,,,,412000,17/01/2019,,Attiva,S.R.L. semplificata
3396.,MUSIC CENTER SRL,IT02608340226,02608340226,TN0237033,02608340226,"VIA DELL'ORA DEL GARDA, 19",Trento,38121,Trentino-Alto Adige/Südtirol,VIA DELL'ORA DEL GARDA 19,Trento,38121,TRENTINO-ALTO,322000,21/12/2020,,Attiva,S.R.L.
3397.,PRIMEBUILD S.R.L.,IT11516910962,11516910962,MI2609009,11516910962,"PZA PIO XI, 1",Milano,20123,Lombardia,PIAZZA PIO XI 1,Milano,20123,LOMBARDIA,439909,30/12/2020,,Attiva,S.R.L.
3398.,AGILE LOGISTICS S.P.A,IT16360061002,16360061002,RM1651463,16360061002,"VIA SALARIA, 1319",Roma,00138,Lazio,VIA MILANO 17,Roma,00065,LAZIO,522440,08/10/2021,,Attiva,S.P.A.
3399.,ECP CURNO 2022 S.R.L.,IT12318660961,12318660961,MI2653890,12318660961,"VIA DELLA MOSCOVA, N./3 INTERNO 72",Milano,20121,Lombardia,,,,,682001,15/03/2022,,Attiva,S.R.L.
3400.,MEBORAST 2 S.R.L.,IT03099240214,03099240214,BZ0232050,03099240214," MEBO, 2",Bolzano/Bozen,39057,Trentino-Alto Adige/Südtirol,,,,,473000,09/12/2020,,Attiva,S.R.L.
3401.,ECOMAC S.R.L.,IT09539761214,09539761214,NA1039538,09539761214,"VIA FRANCESCO CRISPI, 4",Napoli,80121,Campania,VIA MIGUEL CERVANTES DE SAAVEDRA 64,Napoli,80133,CAMPANIA,711220,01/07/2020,,Attiva,S.R.L.
3402.,MAKOTO S.R.L.,IT14972981006,14972981006,RM1559670,14972981006,"VIA LUCREZIA ROMANA, 113/A",Roma,00043,Lazio,,,,,463890,24/10/2018,,Attiva,S.R.L.
3403.,"LABORATORI ITALIANI RIUNITI CAMPANIA S.P.A., IN FORMA ABBREVIATA LIR CAMPANIA S.P.A.",IT10811810968,10811810968,SA0486338,10811810968,"VIA FILETTINE, 87",Salerno,84016,Campania,VIA FILETTINE 87,Salerno,84016,CAMPANIA,869012,10/05/2019,,Attiva,S.P.A.
3404.,NUOVA FORTUNATA S.R.L. SOCIETA' AGRICOLA,IT02841290352,02841290352,RE0318267,02841290352,"STR CASINO DI SOPRA, 13",Reggio nell'Emilia,42017,Emilia-Romagna,STRADA CASINO DI SOPRA 13,Reggio nell'Emilia,42017,EMILIA-ROMAGNA,014600,08/03/2019,,Attiva,S.R.L.
3405.,NETRAIS SOCIETA' PER AZIONI,IT15922551005,15922551005,RM1623209,15922551005,"VIA NAIROBI, 40",Roma,00144,Lazio,VIA NAIROBI 40,Roma,00144,LAZIO,681000,16/11/2020,,Attiva,S.P.A.
3406.,FINELLI SRL,IT09987161214,09987161214,NA1072373,09987161214,"VIA SAN FRANCESCO, 289",Napoli,80040,Campania,VIA SAN FRANCESCO 289,Napoli,80040,CAMPANIA,463920,22/02/2022,,Attiva,S.R.L.
3407.,DI2 S.R.L.,IT10922180962,10922180962,MI2566436,10922180962,"VIA CROCEFISSO, 5",Milano,20122,Lombardia,VIA CROCEFISSO 5,Milano,20122,LOMBARDIA,522922,24/07/2019,,Attiva,S.R.L.
3408.,RAPALLO - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT09680821213,09680821213,NA1049414,09680821213,"VIA GUGLIELMO MELISURGO, 15",Napoli,80133,Campania,,,,,429100,25/01/2021,,Attiva,Società consortile a responsabilita' limitata
3409.,SOUL S.R.L.,IT14681711009,14681711009,RM1538547,14681711009,"VLE PARIOLI, 44",Roma,00197,Lazio,VIA FELICIANO FEDELI 12,Perugia,06034,UMBRIA,464210,13/02/2018,,Attiva,S.R.L.
3410.,"GAGGIO - TECH SRL OVVERO, IN BREVE, GAGGIO TECH SRL",IT12316920961,12316920961,MI2653715,12316920961,"VIA FILIPPO TOMMASO MARINETTI, 3",Milano,20127,Lombardia,LOCALITA' CASONA,Bologna,40041,EMILIA-ROMAGNA,282910,16/03/2022,,Attiva,S.R.L.
3411.,COSMO S.R.L.,IT03169050808,03169050808,RC0213914,03169050808,"VIA ANTONIO VIVALDI, 55",Reggio di Calabria,89022,Calabria,VIA ANTONIO VIVALDI 55,Reggio Calabria,89022,CALABRIA,471120,23/04/2021,,Attiva,S.R.L.
3412.,CAPITALE ITALIA AUTOTRASPORTI S.R.L.,IT14783131007,14783131007,RM1545703,14783131007,"VIA DEI COCHI, 10",Roma,00133,Lazio,VIA DEI COCHI 10,Roma,00133,LAZIO,451101,07/05/2018,,Attiva,S.R.L.
3413.,SE.MA. GLOBAL FACILITIES S.R.L.,IT17180151007,17180151007,RM1701531,17180151007,"VIA DI VANNINA, 88",Roma,00156,Lazio,,,,,432201,18/05/2023,,Attiva,S.R.L.
3414.,GRUPPO ZACCO SRL,IT01728630888,01728630888,RG0426619,01728630888, SS 115,Ragusa,97015,Sicilia,,,,,464210,27/01/2020,,Attiva,S.R.L.
3415.,CERRO S.R.L.,IT11177280960,11177280960,MI2584455,11177280960,"PZA CASTELLO, 26",Milano,20121,Lombardia,PIAZZA CASTELLO 26,Milano,20121,LOMBARDIA,682001,06/02/2020,,Attiva,S.R.L.
3416.,NORDRINK SRL,IT02622570998,02622570998,MI2732998,02622570998,"PZA QUATTRO NOVEMBRE, 4",Milano,20124,Lombardia,,,,,463410,27/06/2019,,Attiva,S.R.L.
3417.,IWG HOLDING ITALIA S.R.L.,IT10458510962,10458510962,MI2533250,10458510962,"CSO EUROPA, 15",Milano,20122,Lombardia,CORSO EUROPA 15,Milano,20122,LOMBARDIA,701000,04/09/2018,,Attiva,S.R.L.
3418.,IACO S.R.L.,IT15381581006,15381581006,RM1586715,15381581006,"VIA FRANCESCO SEVERI, 4",Roma,00166,Lazio,VIA FRANCESCO SEVERI 4,Roma,00166,LAZIO,101300,24/07/2019,,Attiva,S.R.L.
